student_id,student_name,student_phone_number,parent_id,parent_name,parent_phone_number,age,year,gpa,hostel_block,past_violations_30d,past_violations_365d,request_time_hour,requested_duration_hours,destination_risk,emergency_flag,group_request,weekend_request,previous_no_show,requests_last_7days,risk_score_continuous,label_violation
2581,Student_55445,7084418418,673695,Parent_80340,5650369033,24,2,7.426388884208094,A,0,2,21,7.07,LOW,0,0,1,0,0,18.19859632366038,0
3000,Student_70100,9216984322,150612,Parent_33574,4118665268,21,2,7.049934528520756,B,0,0,12,3.73,LOW,0,0,0,0,1,15.0251154148838,0
1770,Student_42049,9452382955,731172,Parent_34285,1575591023,23,3,8.896793578770243,B,0,0,5,3.84,HIGH,0,0,0,0,1,18.48382655789783,0
8648,Student_52318,4420820252,533027,Parent_65479,3113623369,17,4,5.976839129528239,B,0,0,18,3.08,LOW,0,0,1,0,0,26.79891810855325,0
9472,Student_93807,5179477151,962129,Parent_38732,6256391730,19,1,6.969742381627559,A,0,1,11,0.92,LOW,0,0,1,0,0,16.01065530934914,0
7493,Student_29262,2189180441,688579,Parent_89104,7950351321,20,3,9.280729438145222,B,0,0,6,4.65,MED,0,0,0,0,0,11.38862876716466,0
9152,Student_48518,1782903323,321897,Parent_11062,4610821904,23,2,6.726775029547177,A,0,1,8,2.76,LOW,0,0,0,0,0,10.41544712646082,0
3472,Student_70004,9158923443,809913,Parent_58447,6344456122,24,3,7.527690931616212,A,0,0,5,1.13,LOW,0,0,1,0,0,20.16548802335572,0
9434,Student_14324,7768861651,784106,Parent_97886,9482848885,17,2,8.000917187624381,A,0,1,12,5.87,LOW,0,0,0,0,0,6.26230340187065,0
7233,Student_88477,3173699965,382762,Parent_42254,2585832837,18,4,6.898031321103615,A,0,0,14,2.55,LOW,0,1,0,1,0,35.83364379225682,1
9567,Student_80792,6073357387,435842,Parent_15415,1600317767,19,1,8.26284729079812,C,0,2,3,1.52,LOW,0,0,0,0,0,14.13036903842924,0
6984,Student_97062,1997345944,692016,Parent_44016,7629509069,21,4,7.742015144067796,B,1,1,14,8.44,LOW,0,0,0,0,1,6.153994168809501,0
3336,Student_77779,8361849153,132265,Parent_53872,8822240549,21,3,6.720573804122466,D,0,1,14,2.1,MED,0,0,0,0,0,1.191781328504891,0
6779,Student_87834,9196732745,700613,Parent_22999,9363518253,19,4,7.231165823204824,D,1,3,9,5.9,LOW,0,0,1,0,1,20.01574590335905,0
6732,Student_46244,8898007149,278595,Parent_29256,4736176446,22,3,8.037765958406956,C,0,1,20,3.7,LOW,0,1,1,0,0,20.32704303642705,0
9666,Student_67761,6052543639,429670,Parent_80835,5440477172,24,1,8.580459869005349,B,0,0,16,0.78,HIGH,0,0,1,1,0,31.46191927927816,0
2759,Student_51949,3684251440,841804,Parent_52460,8887985807,24,3,8.888582269040288,D,0,2,7,7.92,HIGH,0,0,0,0,0,7.143190775483816,0
8643,Student_36399,9018677126,209575,Parent_86534,9674590716,24,2,8.312560596363063,C,0,0,1,6.55,HIGH,0,0,0,0,0,11.4973060524999,0
6005,Student_76358,4764298642,244931,Parent_60460,9206067584,23,1,6.258498769050878,B,0,0,19,3.91,LOW,0,0,1,0,2,16.46248731544798,0
3679,Student_77642,7318178006,317215,Parent_47599,3082107249,19,1,7.807801768892059,A,0,0,21,7.21,HIGH,0,0,1,0,0,20.75372999756613,0
6475,Student_67384,5583483425,328504,Parent_88411,5896342357,21,3,9.120533445165876,A,0,2,13,0.19,LOW,0,0,0,0,0,18.1068597961359,0
6415,Student_99599,7339588193,808662,Parent_33150,8441340484,24,1,7.797760250918397,C,0,0,12,0.67,LOW,0,0,0,0,1,2.714900141667091,0
8970,Student_55186,8728432356,710411,Parent_85186,5317532261,18,4,6.772862824175132,C,1,2,15,8.25,MED,0,0,0,0,0,13.34411656290237,0
6387,Student_87454,5054703980,616142,Parent_37935,7821540879,23,1,7.771578837195373,B,0,0,6,1.41,HIGH,1,1,0,0,1,17.94980742710506,0
4561,Student_76150,3792447501,437054,Parent_62375,9096006274,21,3,8.755756125573521,D,0,2,12,3.93,MED,0,0,1,0,0,14.07317196440658,0
4810,Student_49974,6801263091,931516,Parent_39629,2726280156,22,1,10.0,D,1,1,4,5.27,LOW,0,0,0,0,0,8.748145279649865,0
9623,Student_45400,3919062871,830051,Parent_53001,4377326140,21,3,7.774005785085571,C,1,1,19,0.27,LOW,0,0,1,0,0,22.03232798570815,0
8274,Student_71665,1946981081,576072,Parent_37376,8643257090,24,2,8.015272852986765,C,2,0,9,2.9,LOW,1,1,0,0,1,25.00787815440302,0
5675,Student_44701,1392932961,773034,Parent_93560,4817143944,19,1,8.006734662486839,C,0,1,7,4.76,LOW,0,1,1,0,1,26.14186090428702,0
1317,Student_12396,2146877676,199616,Parent_96231,1675772986,19,4,8.320482181197365,A,1,1,4,8.51,MED,0,0,1,0,1,23.8799844105786,0
3403,Student_58845,3179557340,715947,Parent_43062,6527786719,21,2,8.15253469375948,D,0,2,5,1.33,LOW,0,0,0,0,1,1.566055694435509,0
8059,Student_93807,3500403081,895509,Parent_30953,9038189361,22,4,6.913451911478657,C,0,1,10,6.89,LOW,0,0,1,0,0,29.57407478907391,0
9707,Student_24288,1702758950,824238,Parent_51846,3979342492,19,4,7.963723857390432,D,0,0,16,13.21,LOW,0,1,0,1,1,34.06891874445626,1
6626,Student_17424,9135094139,346693,Parent_29982,6210245052,19,4,7.902768291993094,B,1,1,16,0.38,LOW,0,0,1,0,0,25.12710161538702,0
6655,Student_54859,7943460226,770611,Parent_10526,1005290717,22,3,7.874977938339708,D,0,0,21,3.49,LOW,0,0,1,0,0,15.4638334407996,0
9465,Student_36589,9481271278,817406,Parent_36143,4694197536,20,2,7.757996992120066,C,0,0,13,0.61,LOW,0,0,0,0,0,13.68999933117217,0
1001,Student_16368,4790452456,276076,Parent_93869,4541260876,20,2,6.498379990105084,C,0,2,11,0.44,LOW,0,0,0,0,0,10.94660791944907,0
9907,Student_36289,9934025222,854122,Parent_56163,8805234489,22,2,6.920299088526373,D,0,0,21,3.6,LOW,0,0,1,0,0,19.8940497143793,0
5780,Student_93847,4391729270,364500,Parent_80326,8383915409,19,2,8.005991109959535,C,0,0,2,1.0,LOW,0,0,1,1,0,21.15896377069775,0
3071,Student_84131,2485779459,912395,Parent_49443,9018839216,19,4,7.090544755021796,B,0,3,18,1.34,LOW,0,0,1,0,0,20.26145809923777,0
4591,Student_36723,7496632833,395286,Parent_36916,1296923045,21,1,8.043600154594433,C,0,2,16,1.98,HIGH,0,0,0,0,0,19.26286159185684,0
8062,Student_62233,6716126287,302332,Parent_86619,5920986984,17,1,8.148924210506996,A,0,1,10,5.33,LOW,0,0,0,0,1,4.071692321617263,0
1956,Student_44707,9532781389,967969,Parent_76504,3748791808,23,3,8.23264007721558,A,0,2,17,13.42,LOW,0,0,0,0,0,10.56111841364753,0
4249,Student_19110,1616509747,490479,Parent_11969,8442744187,23,4,6.876231039304195,A,1,2,17,1.12,MED,0,0,1,0,1,32.06917193789057,0
4124,Student_52287,3478991720,734457,Parent_18125,7893224639,22,3,7.435861653407008,D,0,0,8,0.46,LOW,0,1,0,0,1,21.2459361047547,0
2388,Student_13712,8082721734,716024,Parent_61924,2633890194,20,1,5.947272932183962,A,0,0,10,3.7,LOW,0,0,0,0,0,11.27531510232975,0
2177,Student_14760,7556799279,504772,Parent_37598,8502774061,18,4,8.258928589786764,A,0,1,12,1.73,LOW,0,0,0,0,1,12.34962762398038,0
8311,Student_64691,8370811025,112289,Parent_54976,2776179843,18,1,6.441360650602919,D,0,2,9,0.82,HIGH,0,0,0,0,0,22.71355215201644,0
7284,Student_90758,8813356661,265140,Parent_98789,6205692936,23,2,7.037050934574641,B,1,0,4,1.44,MED,0,0,0,0,0,8.963261108613269,0
1482,Student_27633,1930890358,966964,Parent_59104,5396494255,21,3,6.799651192542046,C,0,1,1,1.28,LOW,0,0,0,0,0,8.89610130452488,0
3349,Student_70946,7779120169,131007,Parent_49532,6432684579,24,1,6.399220717163315,A,0,2,11,1.06,LOW,0,0,0,0,0,8.87494367842957,0
6249,Student_29201,7690628816,611778,Parent_19686,6727637619,24,2,8.058326912521723,A,0,1,9,0.41,LOW,0,0,0,0,1,11.48417880300759,0
5443,Student_65922,4166164947,293783,Parent_51323,4616505464,22,1,7.263419649270859,D,0,0,15,2.83,LOW,0,0,1,0,0,17.7581084813072,0
3817,Student_40682,3378562504,970848,Parent_65114,7215687574,18,4,7.865300993021789,D,1,1,17,3.95,LOW,0,0,1,0,1,28.71811994167179,0
8842,Student_16721,9485181203,286321,Parent_58895,8827494424,18,1,5.530852714026453,C,0,2,2,12.21,MED,0,0,0,0,0,12.03487538602756,0
8340,Student_99099,5022018590,264685,Parent_38179,6487905756,20,3,6.290305257158892,B,0,1,4,6.07,LOW,0,1,1,0,1,31.51821282021682,0
6448,Student_60331,6434797549,237478,Parent_33291,3187951363,20,3,6.766993936723359,D,0,2,4,8.71,LOW,0,0,0,0,1,8.420768211759391,0
5481,Student_73037,8689442021,304366,Parent_33177,1924284992,21,1,7.916236366927595,A,0,2,10,2.42,MED,0,0,1,0,1,24.59874088907244,0
4493,Student_65316,9126441868,479504,Parent_63352,3955516032,18,4,7.302195314103494,B,0,2,1,1.95,LOW,0,1,0,0,0,17.8102704247789,0
8083,Student_73936,1309599852,652370,Parent_99570,3184331411,21,4,6.152873710470304,C,2,1,4,4.32,MED,0,0,1,1,0,32.66881746310759,1
4839,Student_45144,8161215438,619089,Parent_87360,3765547688,17,2,8.462199354595118,B,0,0,7,0.48,LOW,0,0,0,0,0,10.51675412083032,0
8569,Student_36806,2598445208,170119,Parent_48714,7182197371,18,1,6.988549444449768,D,0,0,13,0.05,HIGH,0,0,0,0,0,18.15797344873657,0
3196,Student_38044,7272969364,640285,Parent_89751,8423810919,22,3,8.624798644593191,A,1,0,20,5.18,MED,0,0,1,0,1,17.10319070351827,0
2724,Student_76912,1402682909,236998,Parent_19496,7691740857,24,4,8.328454515695107,A,0,0,9,4.29,LOW,0,0,0,0,0,6.254484250945917,0
3547,Student_94899,8937304809,119033,Parent_20805,6164614669,17,2,8.273832743642279,D,0,1,4,0.53,LOW,0,0,1,0,0,24.54262232505751,0
3023,Student_69796,7956083237,688717,Parent_71627,2665045420,20,1,6.948141854107553,B,0,0,22,4.86,LOW,0,0,1,0,0,32.78329632101813,1
4390,Student_15997,9841408917,543031,Parent_52092,8334433765,21,3,7.581563034984366,A,0,1,17,1.86,LOW,0,0,0,0,0,18.01835025679716,0
2283,Student_59811,9551822894,970477,Parent_67418,7819417487,21,1,7.856166877224842,C,0,0,21,1.28,LOW,0,1,1,0,0,27.50925406581716,0
8999,Student_32436,2967897673,518495,Parent_36201,9200768418,17,4,8.400176986912467,B,0,0,19,4.28,HIGH,0,0,1,0,0,32.72121771706303,1
1162,Student_44742,7137022430,240905,Parent_17896,2151648325,20,1,6.973921967788042,D,0,1,17,2.12,LOW,0,0,0,1,0,23.90157811044453,0
7342,Student_75428,8850634905,495755,Parent_32669,3123780260,18,1,8.294264679621827,B,0,1,20,3.75,LOW,0,0,1,0,0,12.6439545164192,0
1597,Student_29446,3247946832,306487,Parent_17521,9880567976,23,2,9.67373837346824,B,0,1,1,4.36,LOW,0,1,0,0,0,22.51343077989272,0
9174,Student_40651,9813086399,290706,Parent_20800,8533835123,22,3,7.823079273116029,B,0,0,8,3.29,MED,0,0,1,0,0,18.03058244683865,0
2577,Student_51971,5142395698,326058,Parent_12551,3480744611,21,1,8.549654177860345,C,1,0,19,3.26,LOW,0,0,1,0,0,14.25755993147468,0
7629,Student_95120,2891174659,139901,Parent_21205,5653442805,19,4,7.840117706404645,C,1,3,5,15.6,LOW,0,0,1,0,1,19.0155655013453,0
7788,Student_42994,2446718939,197756,Parent_59416,5770628229,19,4,7.196338476126004,C,0,1,21,7.05,LOW,0,0,1,0,0,10.0173604635116,0
2715,Student_55096,8511151929,133866,Parent_94246,8464950032,21,4,7.90373009033661,C,0,1,2,4.64,LOW,0,1,1,0,0,27.10685127173904,0
7659,Student_97960,1142547170,543316,Parent_18179,9175933411,20,1,8.223610587228874,A,1,1,1,2.37,LOW,0,0,0,1,0,28.75841543841346,0
9787,Student_18472,9238076057,868613,Parent_44518,8981516719,17,3,8.343414309396,A,1,1,18,8.25,LOW,0,0,1,0,0,23.80133331810376,0
7816,Student_87175,7864893130,195028,Parent_21240,7866829352,20,3,8.450307591973576,A,1,2,11,3.5,HIGH,0,0,1,0,0,39.79282078933076,1
8156,Student_77580,4906817468,851496,Parent_56403,9070152919,24,1,6.379577340088384,C,1,2,18,1.08,LOW,0,0,1,0,0,22.34664955107837,0
1193,Student_27569,3174396160,787687,Parent_52070,5599618821,22,1,8.306564176681,C,0,2,7,2.54,LOW,0,0,0,0,0,11.93580962401568,0
2159,Student_47418,2455395417,982470,Parent_26724,3456930224,24,2,6.991544659970256,A,0,0,8,6.82,LOW,0,0,1,0,0,19.38171300913699,0
6002,Student_93276,2694691328,947467,Parent_18210,2108845676,20,1,8.421247684910345,C,1,1,12,7.08,LOW,0,0,0,0,0,10.55114024487774,0
2774,Student_20651,1304975584,903147,Parent_54409,5044681126,18,3,8.830183086306214,C,0,0,17,0.6,LOW,0,0,0,0,0,17.12150956220132,0
1386,Student_16031,5905441575,909217,Parent_88928,2812623357,20,3,6.664045920419304,C,0,0,16,0.97,LOW,0,0,0,0,0,11.70519141916917,0
4500,Student_46788,8683632761,948925,Parent_46027,2851067454,23,4,7.227572298755709,D,0,1,4,4.15,LOW,0,1,0,0,0,19.39420131368325,0
2442,Student_54014,7854719882,883152,Parent_21120,8933403711,21,4,6.265651128120078,D,0,0,16,0.61,LOW,0,0,0,0,0,9.575971177702376,0
5458,Student_82127,9690231089,572890,Parent_63161,4588360313,21,1,7.406565929083,C,0,2,14,0.66,LOW,1,0,0,0,0,7.770472758001901,0
9556,Student_96836,8846110561,347199,Parent_66882,5542561776,21,2,6.38531463874002,C,0,1,23,32.64,LOW,0,0,1,0,1,24.17386020230386,0
7905,Student_94754,4138839526,607732,Parent_28951,4053226596,20,2,7.753739661494573,A,0,0,21,6.25,LOW,0,0,1,0,1,21.68628750559441,0
5761,Student_70011,7405592291,697093,Parent_68954,3416828349,24,3,7.740471249330207,A,0,2,18,3.69,LOW,0,0,1,1,0,19.25971013943993,0
8084,Student_18016,4637703536,508288,Parent_90018,3192290828,23,2,8.22269600952262,B,0,3,20,1.78,MED,0,0,1,1,0,26.66089470302759,0
8537,Student_20503,8853215856,898022,Parent_20886,4180320768,23,1,7.966725467592104,A,1,0,8,5.14,LOW,0,0,0,0,0,16.05643104056267,0
6409,Student_77628,1433539154,596762,Parent_84085,6335342459,24,2,5.892440135631026,D,1,0,23,2.08,HIGH,0,0,1,0,0,29.47242399866411,0
1436,Student_45596,1921820562,735956,Parent_71202,4262506264,22,3,7.507964282647331,B,0,2,17,1.11,MED,0,0,0,0,0,16.56298956889843,0
6590,Student_66071,7019163147,587030,Parent_22237,5869755729,24,2,6.535705360243632,A,0,0,17,1.29,MED,0,0,1,0,1,25.00165686912658,0
8818,Student_29008,4619420058,499009,Parent_15571,2814127698,17,2,7.89046484992889,A,0,0,0,10.65,MED,0,0,0,0,0,10.72233273135732,0
4607,Student_99963,2280124509,826728,Parent_88356,1206957353,17,1,5.074785722127399,D,0,1,13,5.89,LOW,0,0,0,0,1,13.34012646511532,0
4237,Student_44773,4419827299,438540,Parent_93692,6990338440,24,4,8.774591875293515,D,1,2,20,1.36,LOW,0,0,1,0,0,25.03063802002864,0
3100,Student_71997,2628196516,873221,Parent_28199,5377978837,17,4,6.640912057635931,D,0,0,10,8.4,LOW,0,0,0,0,0,18.21476431986824,0
3745,Student_65243,1328070825,695642,Parent_61374,6874371304,18,1,8.480853449137475,B,0,2,20,4.16,HIGH,0,0,1,0,1,25.05498301569476,0
9835,Student_55671,5026009756,192769,Parent_97265,9846414971,23,4,7.520886488295962,C,0,1,11,3.87,MED,0,0,0,1,0,24.68760871391956,0
6102,Student_17006,5069031598,123091,Parent_42983,7313551547,17,3,7.665658943568532,B,0,0,19,1.05,LOW,0,0,1,0,0,17.50286915334527,0
6241,Student_37076,6474811173,931037,Parent_94565,7269212881,22,2,7.329820333493449,C,0,1,10,4.49,LOW,1,0,0,0,0,0.1166205664979527,0
3743,Student_83402,7539258301,975512,Parent_15451,4948738833,19,3,7.689706167610396,B,0,2,16,12.89,LOW,1,0,1,0,1,11.08913755289155,0
7976,Student_66746,8968053340,599797,Parent_37691,4588049316,18,4,8.118488380456476,B,0,0,9,1.55,MED,0,0,0,0,0,10.01863505817837,0
2676,Student_76732,9166378211,385960,Parent_50695,9560965106,17,4,4.598476317306421,C,0,4,17,19.54,LOW,0,0,0,0,2,23.87386987965818,0
4786,Student_19256,1982235012,658969,Parent_97440,9017717601,24,1,7.135450853464977,D,0,1,18,1.33,LOW,0,1,1,0,0,20.53467180693685,0
3179,Student_53798,9112709715,410001,Parent_30700,6184351131,22,1,6.094245269347044,C,0,2,3,4.73,MED,0,0,0,0,0,8.01907926190395,0
1278,Student_53884,2682871134,878493,Parent_47044,7579983016,17,1,8.190236800380273,A,0,0,6,1.45,LOW,0,0,0,1,0,10.20678201937318,0
4240,Student_36564,2815178582,151001,Parent_67649,6692099261,21,1,6.646060291612307,A,0,4,20,0.65,LOW,0,0,1,0,0,15.61633818382941,0
9712,Student_84704,7364572373,913560,Parent_78368,1558093946,21,1,7.533327925665802,A,0,2,14,5.01,LOW,0,0,0,0,0,6.743266619682032,0
1680,Student_94444,2483232396,162021,Parent_47125,4678799362,17,3,8.237373135260825,A,1,1,3,1.94,LOW,0,0,0,1,0,31.1157651494476,0
7871,Student_37962,4509538642,694821,Parent_66184,5153384880,24,3,5.72164903273462,D,1,2,10,8.02,LOW,0,0,0,0,1,12.14795096979885,0
9566,Student_21889,6358014963,923759,Parent_26199,1085021707,22,1,6.470628491817928,A,1,2,0,1.35,LOW,0,0,1,0,1,16.06014577732799,0
4765,Student_91486,1435393271,647219,Parent_99116,5210651704,24,2,7.90491409895913,B,1,1,19,2.2,LOW,0,0,1,0,0,21.46439042984151,0
9399,Student_81291,9454803477,714553,Parent_70710,9914563740,23,2,7.383370067599605,D,0,2,1,4.87,LOW,0,0,0,0,0,8.028678673703913,0
6178,Student_61707,9014819740,140387,Parent_84816,1664983817,21,3,6.055482662997727,A,0,0,3,11.01,LOW,0,0,0,0,1,19.85816023980437,0
6285,Student_92289,5692790690,806291,Parent_17674,4927956606,17,4,7.760889064682097,C,0,0,23,1.04,LOW,0,0,1,0,0,20.82773888481426,0
9342,Student_11134,9716653567,466142,Parent_70128,1067917165,21,3,9.20501414720703,B,0,1,22,7.29,MED,0,1,1,0,0,24.68278549711264,0
2993,Student_10869,2088160758,634391,Parent_92522,6546931975,19,2,8.18332899281107,B,0,1,0,9.03,LOW,0,0,0,0,1,9.957581083817246,0
6738,Student_15668,9864839771,959665,Parent_34417,5389084344,21,4,5.835390264966233,C,0,1,22,4.99,LOW,0,1,1,0,0,37.01321515790548,1
3032,Student_45529,9081799622,557666,Parent_45436,2330610371,20,4,9.369615330504518,A,0,1,12,1.47,HIGH,0,0,0,0,2,10.12681032956272,0
1136,Student_27413,7535219624,848149,Parent_42854,2480824907,23,4,7.110598456969801,B,0,1,13,1.94,LOW,0,0,0,0,1,19.81685913490966,0
5384,Student_74925,2778979453,403602,Parent_99037,6816551049,23,4,6.527050220683335,B,0,0,22,1.12,LOW,0,0,1,0,1,21.37640786089833,0
4360,Student_94925,3323169298,200546,Parent_90201,6032387008,21,2,8.030191307342912,A,0,1,16,2.74,HIGH,0,1,0,0,1,19.33445261941539,0
1816,Student_10192,3625670717,243888,Parent_49082,3891571450,21,3,9.528628924269873,D,0,4,21,7.41,LOW,0,0,1,0,0,22.72029287457079,0
6057,Student_14994,9915062452,406093,Parent_47405,4451167975,18,3,6.602953569354745,D,1,2,16,0.31,LOW,0,0,0,0,0,11.35240291888114,0
1002,Student_83933,6903348355,646298,Parent_34123,6797969374,19,4,7.291045844775986,D,0,0,23,3.18,LOW,0,0,1,0,1,30.26865461057024,0
4792,Student_54386,1890098898,583007,Parent_51003,2660521018,23,4,7.650870213277535,A,0,0,2,2.27,MED,0,0,0,0,0,10.8407468824329,0
7410,Student_42821,2037237287,795532,Parent_43722,7119687773,22,4,8.442568548536189,D,0,1,22,4.31,MED,0,0,1,0,1,23.09903877924497,0
7111,Student_47019,3983460217,689421,Parent_76458,5566152777,23,1,8.052299937679523,C,1,2,7,0.13,LOW,0,1,1,0,0,32.68631471808639,1
1689,Student_95679,7137443544,690189,Parent_54535,2874407878,24,1,7.835058029084117,C,0,6,2,24.18,LOW,0,0,1,0,0,20.86354673860951,0
5594,Student_35525,9648769437,245406,Parent_72767,1996510498,22,2,6.468265420203489,C,1,3,3,18.7,MED,0,0,0,0,0,20.3921901935569,0
7039,Student_43418,6890487265,565590,Parent_78798,2980696745,20,2,6.907644044347946,C,1,1,10,0.73,LOW,0,0,0,0,0,15.09162324429955,0
7982,Student_49104,7784872177,254542,Parent_69821,5555263409,20,2,8.023079004002394,C,0,2,23,12.28,MED,0,0,1,0,0,25.78668607459683,0
9135,Student_32439,9813227157,114995,Parent_33559,2818210599,18,2,7.706646438098339,C,1,0,12,14.95,LOW,0,0,0,0,0,17.52713701255303,0
2257,Student_92384,5844452205,417715,Parent_24715,3874658576,24,2,6.833715799490093,D,0,1,23,0.43,LOW,0,1,1,0,1,27.19537085080384,0
2942,Student_71799,1998605661,155863,Parent_52043,6396467750,20,1,6.145719945564519,D,0,1,5,8.0,LOW,0,0,0,0,1,7.618677339311404,0
2289,Student_76983,9943291536,512736,Parent_95238,8827067704,23,2,6.636040883164786,B,0,2,14,0.89,LOW,0,0,0,0,0,5.324713079087801,0
8124,Student_64353,4185325775,311144,Parent_75982,8895139538,20,3,7.705266893601085,D,0,2,12,8.82,MED,0,0,0,0,0,10.07511980013288,0
7139,Student_93494,3841839263,611162,Parent_90357,2196762845,19,4,4.92611788493558,D,0,3,13,1.17,HIGH,0,0,0,0,0,22.33803518898669,0
1307,Student_29800,4754109689,775302,Parent_30862,8523391875,21,1,7.796184804731014,D,0,0,3,2.45,LOW,0,0,0,0,0,13.18995031796391,0
1314,Student_87273,3010341286,476036,Parent_81128,1663538959,23,2,7.57997649477807,B,1,2,20,5.76,LOW,0,0,1,0,0,29.99497176073952,0
4435,Student_88388,4663529784,917459,Parent_45464,9574465390,17,4,7.454487754698758,A,0,3,11,1.91,MED,0,0,1,0,0,17.46604150521369,0
9924,Student_85476,4586580903,914486,Parent_85319,6866434901,18,2,9.033854941032176,C,0,0,20,13.03,LOW,0,0,1,0,1,19.01295194754109,0
8538,Student_66563,9215976112,623562,Parent_87475,7251836684,20,2,8.491258658192088,C,0,1,13,0.33,LOW,0,0,0,0,0,15.94969472323499,0
7513,Student_58003,5560432619,485946,Parent_71576,2918624280,23,2,6.186384853920933,C,1,1,14,2.48,MED,0,0,0,0,1,19.3199349284086,0
3230,Student_16511,2890034933,873720,Parent_36177,9333184898,18,1,8.723083067095326,B,0,1,14,11.97,LOW,0,0,0,0,0,9.278074920437492,0
8279,Student_66683,9655118806,607994,Parent_35105,4526086619,19,2,9.396412405772782,D,0,1,22,1.17,MED,0,0,1,0,0,19.13260506846699,0
4932,Student_86996,4846993466,618895,Parent_34000,3439431034,24,3,5.932670846475472,D,1,2,22,0.49,LOW,0,0,1,1,0,37.14559930085594,1
7837,Student_44217,4200521550,699248,Parent_53618,4409900751,24,2,6.916400673653995,B,0,1,12,7.35,LOW,0,0,0,0,0,17.2095870921363,0
2015,Student_19275,8212105412,768629,Parent_75942,3584205217,18,3,5.011672646587011,B,0,1,13,7.45,LOW,0,0,0,0,1,10.25023319702406,0
2939,Student_28019,8875441071,765643,Parent_28279,2603989648,23,3,7.435938961466111,D,0,2,14,1.36,LOW,0,1,1,0,0,30.25152798120889,0
